Country,Year,Disease,Disease Category,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
South Korea,2022,Diabetes,Parasitic,16.84,9.97,0.99,628801.0,63.82,4.63,5.61,87.91,0.98,66.25
Italy,2024,Diabetes,Parasitic,19.5,3.81,5.19,620795.0,83.7,2.71,9.2,62.61,2.81,20.12
India,2020,Diabetes,Viral,16.31,10.97,9.19,563214.0,63.11,2.3,9.56,82.14,9.6,29.76
Australia,2022,Asthma,Metabolic,0.61,8.44,4.18,608634.0,67.63,3.25,1.04,96.53,5.86,21.05
Mexico,2020,Asthma,Chronic,0.22,13.01,5.76,151647.0,51.66,1.53,9.19,54.3,2.76,38.51
Saudi Arabia,2021,Hypertension,Bacterial,7.02,1.75,0.53,602989.0,78.4,4.08,9.65,84.71,6.48,64.73
Canada,2020,Cancer,Cardiovascular,16.6,10.56,9.17,710114.0,67.63,0.83,9.7,93.09,6.0,36.34
Saudi Arabia,2024,Asthma,Cardiovascular,10.13,3.07,3.64,91465.0,76.48,3.06,6.81,70.19,8.04,38.89
USA,2024,Cancer,Respiratory,3.74,2.32,4.29,716194.0,85.14,3.58,1.42,77.72,3.35,81.17
Brazil,2022,Hypertension,Metabolic,5.34,7.85,1.57,236093.0,66.88,3.55,7.35,56.32,1.24,72.95
South Africa,2022,Hypertension,Parasitic,19.43,0.16,0.6,649538.0,50.21,0.65,1.14,69.17,7.6,20.99
Turkey,2022,Cancer,Viral,4.63,4.35,3.07,355252.0,71.48,1.66,1.31,66.96,9.8,80.12
Australia,2024,Diabetes,Respiratory,15.74,7.94,8.71,38869.0,89.27,1.04,1.11,65.64,4.77,64.59
Mexico,2022,Hypertension,Parasitic,10.12,4.91,5.15,971179.0,76.52,1.77,1.49,63.86,1.41,42.18
Mexico,2021,Asthma,Neurological,19.9,11.84,7.5,934898.0,99.7,3.97,5.36,63.25,7.92,65.48
Australia,2021,Cancer,Respiratory,1.69,1.71,9.51,216803.0,73.47,1.41,3.81,63.43,8.39,24.74
UK,2022,Asthma,Infectious,14.19,1.96,4.57,818708.0,51.69,2.33,5.97,78.48,4.84,23.24
Germany,2024,Cancer,Genetic,14.36,14.34,9.46,403833.0,96.9,1.88,1.23,77.03,6.15,23.42
Canada,2023,Hypertension,Metabolic,12.32,1.5,8.79,356370.0,60.39,4.5,5.19,59.68,0.36,28.32
Japan,2023,Asthma,Neurological,19.12,13.92,5.07,561088.0,79.24,2.29,9.25,91.81,1.72,73.73
South Africa,2020,Diabetes,Metabolic,16.94,3.18,8.23,798056.0,85.69,2.6,6.07,55.45,2.86,52.63
South Korea,2024,Asthma,Autoimmune,11.85,0.79,2.04,109141.0,97.27,1.55,5.21,92.18,1.35,72.83
India,2021,Hypertension,Bacterial,1.45,9.55,1.12,287928.0,50.29,2.01,8.85,50.77,7.27,87.4
Nigeria,2021,Cancer,Bacterial,8.34,2.35,9.11,509248.0,63.47,0.96,4.4,50.49,8.45,42.5
Canada,2023,Cancer,Metabolic,7.3,8.21,6.17,709597.0,78.82,4.74,5.07,78.4,5.23,62.89
Germany,2023,Hypertension,Chronic,17.2,10.15,5.88,622239.0,68.43,4.82,6.38,70.03,7.6,57.72
France,2022,Cancer,Infectious,18.02,11.53,2.93,863415.0,56.28,1.85,6.15,64.06,7.18,45.82
Indonesia,2020,Hypertension,Cardiovascular,18.75,0.52,5.83,144929.0,76.58,2.27,4.37,93.62,8.19,43.5
UK,2023,Cancer,Chronic,2.06,13.92,4.98,229265.0,86.51,1.0,4.08,51.62,4.56,77.17
UK,2020,Asthma,Cardiovascular,5.79,3.56,1.5,240772.0,56.3,1.03,5.45,54.18,9.83,25.6
Brazil,2021,Cancer,Infectious,0.77,3.88,3.74,664878.0,91.01,1.4,4.8,75.73,4.23,47.69
Turkey,2020,Asthma,Genetic,11.51,1.65,0.71,838975.0,75.55,2.1,2.96,72.75,9.29,21.55
Indonesia,2021,Asthma,Infectious,16.83,2.1,7.16,832840.0,51.95,0.95,7.88,90.24,5.01,46.77
USA,2023,Hypertension,Parasitic,16.35,4.48,3.15,965123.0,78.38,1.6,8.59,60.02,0.97,63.34
India,2023,Diabetes,Autoimmune,19.67,8.93,4.92,182632.0,86.03,2.09,9.39,90.72,3.49,27.57
India,2020,Hypertension,Metabolic,13.1,2.08,0.15,548255.0,92.21,4.59,9.27,78.3,4.18,74.53
Indonesia,2023,Diabetes,Neurological,8.02,2.36,0.41,372693.0,99.52,2.63,3.36,77.82,9.09,30.1
Australia,2021,Hypertension,Cardiovascular,6.66,4.03,9.26,859333.0,90.08,0.91,4.78,78.21,0.59,69.3
Turkey,2021,Hypertension,Metabolic,14.19,10.68,6.73,742253.0,54.06,3.86,2.31,69.47,0.83,35.55
Japan,2021,Hypertension,Autoimmune,14.47,0.19,9.45,365198.0,53.83,2.83,2.68,80.88,0.6,82.11
France,2022,Asthma,Viral,6.15,3.48,6.8,226901.0,91.03,3.17,5.22,95.14,3.68,61.42
Canada,2021,Diabetes,Respiratory,3.32,0.59,8.39,384518.0,68.65,2.27,9.78,57.15,5.22,42.53
Germany,2023,Diabetes,Neurological,13.93,5.35,0.75,844944.0,63.12,4.72,4.89,78.72,9.51,30.72
Indonesia,2020,Asthma,Chronic,3.34,7.67,2.76,282799.0,88.02,1.58,1.58,92.92,3.35,43.74
Russia,2020,Cancer,Autoimmune,17.94,7.06,4.94,647941.0,91.23,0.94,5.63,94.68,8.24,60.01
Mexico,2022,Cancer,Respiratory,4.45,2.93,1.1,170366.0,75.0,2.55,0.91,75.51,1.79,28.46
Canada,2022,Cancer,Parasitic,6.16,9.82,1.98,228201.0,68.9,1.27,6.61,83.05,7.04,61.09
Canada,2021,Diabetes,Autoimmune,0.61,3.63,9.64,163941.0,57.99,2.74,8.41,72.56,3.66,32.99
USA,2020,Cancer,Respiratory,13.69,3.63,5.59,353957.0,64.53,2.69,5.64,80.66,9.23,41.03
Saudi Arabia,2023,Asthma,Chronic,0.9,10.1,1.12,156950.0,93.48,0.78,4.5,86.88,5.25,81.24
Canada,2023,Asthma,Neurological,17.35,1.38,1.52,20196.0,99.44,4.86,2.03,91.57,4.49,88.0
UK,2023,Asthma,Chronic,8.69,10.47,4.11,861931.0,93.18,2.82,7.04,58.7,5.94,56.42
France,2020,Diabetes,Neurological,9.86,6.83,4.27,213983.0,70.68,2.12,6.99,68.49,0.02,51.11
Indonesia,2022,Cancer,Chronic,19.0,12.27,1.46,240222.0,58.85,1.85,8.35,73.7,4.64,65.15
France,2020,Diabetes,Bacterial,2.38,2.15,8.77,702695.0,89.75,3.37,4.68,77.21,3.89,29.75
South Korea,2023,Hypertension,Infectious,1.41,3.87,7.1,37003.0,53.94,2.66,7.1,51.02,2.81,55.72
Nigeria,2023,Cancer,Respiratory,3.96,13.46,3.2,875889.0,75.76,2.65,5.33,80.66,6.43,43.02
Australia,2021,Diabetes,Autoimmune,1.34,7.52,9.97,446403.0,78.02,4.12,4.53,57.87,3.16,81.02
South Africa,2021,Hypertension,Parasitic,6.06,5.46,4.69,99526.0,91.95,1.26,2.63,91.18,0.22,72.72
China,2024,Cancer,Viral,2.47,1.73,7.08,751882.0,92.78,2.3,7.18,77.92,3.5,86.68
Germany,2022,Cancer,Parasitic,9.0,9.53,3.93,230169.0,95.65,2.27,9.39,66.01,3.84,48.84
Germany,2023,Cancer,Infectious,1.23,1.3,4.53,300564.0,74.85,3.85,7.5,69.58,2.56,44.71
India,2021,Diabetes,Parasitic,19.98,14.75,8.29,35279.0,54.04,3.2,6.29,69.63,9.49,85.92
Russia,2021,Hypertension,Viral,10.08,0.4,0.6,543589.0,92.77,4.8,4.57,80.69,6.68,41.91
Indonesia,2022,Diabetes,Bacterial,19.99,14.94,3.1,409152.0,73.66,4.13,2.48,81.6,9.54,21.06
Germany,2023,Hypertension,Parasitic,14.93,2.41,7.7,511848.0,51.01,3.61,3.98,94.1,4.27,52.61
Brazil,2020,Asthma,Autoimmune,6.91,6.27,9.6,550714.0,78.72,2.59,0.66,92.26,6.16,68.82
Japan,2023,Asthma,Chronic,10.4,13.88,9.64,978075.0,84.56,3.71,1.75,74.24,6.78,38.22
Mexico,2024,Asthma,Cardiovascular,1.42,0.36,9.86,981773.0,75.32,4.78,8.71,56.82,8.91,26.98
India,2021,Asthma,Metabolic,15.08,1.48,9.32,579994.0,52.5,1.29,2.44,97.95,3.47,59.37
Italy,2020,Diabetes,Neurological,19.78,5.61,1.42,126445.0,98.69,3.67,2.33,78.43,6.04,48.92
UK,2021,Cancer,Neurological,2.14,4.92,5.42,527327.0,69.8,0.83,4.17,69.44,6.25,58.04
Italy,2023,Diabetes,Cardiovascular,16.68,10.71,3.88,175413.0,99.52,3.46,7.15,60.03,2.95,73.95
India,2020,Hypertension,Autoimmune,8.45,9.84,8.51,732113.0,82.67,1.88,3.28,93.77,3.13,54.05
Turkey,2024,Asthma,Cardiovascular,5.84,12.46,7.41,8867.0,66.12,2.27,5.84,87.37,7.78,26.54
South Korea,2021,Asthma,Bacterial,4.85,0.28,8.71,345480.0,67.69,1.51,1.22,69.62,0.1,68.0
France,2022,Hypertension,Autoimmune,17.42,2.27,3.17,271361.0,80.94,0.59,1.82,57.85,5.55,66.92
Saudi Arabia,2022,Diabetes,Bacterial,7.47,12.87,7.16,903795.0,87.48,0.84,6.91,67.77,0.4,86.17
Saudi Arabia,2022,Cancer,Infectious,6.0,8.66,8.01,607055.0,84.46,4.07,4.25,78.24,6.76,74.08
Brazil,2021,Cancer,Cardiovascular,5.89,4.4,5.91,195568.0,83.9,3.97,7.25,94.66,8.27,83.34
South Africa,2022,Diabetes,Metabolic,2.08,3.39,3.34,999430.0,67.31,4.97,5.18,74.6,7.47,55.54
South Korea,2020,Cancer,Chronic,8.08,12.48,5.43,303155.0,78.58,3.2,9.36,77.34,1.06,77.65
Saudi Arabia,2021,Hypertension,Genetic,20.0,5.66,9.7,958466.0,53.32,2.11,7.54,98.37,6.92,31.59
Saudi Arabia,2023,Diabetes,Genetic,10.56,7.45,1.08,763167.0,62.11,3.07,7.87,84.26,1.5,35.7
Nigeria,2021,Diabetes,Neurological,15.55,1.39,7.95,592702.0,97.22,1.21,6.45,55.06,3.96,59.76
Mexico,2020,Diabetes,Bacterial,11.21,6.04,7.5,854071.0,83.44,4.57,6.58,64.38,4.77,45.65
Italy,2024,Diabetes,Bacterial,3.49,14.36,2.8,330043.0,62.89,3.55,3.13,64.99,1.27,50.11
Brazil,2023,Asthma,Genetic,5.12,14.66,2.47,111043.0,99.35,2.66,1.93,85.41,9.63,86.51
Turkey,2024,Diabetes,Chronic,14.99,4.82,9.18,376993.0,92.68,2.27,1.03,83.83,6.24,54.33
France,2024,Asthma,Infectious,8.65,5.42,6.81,988248.0,66.53,4.57,6.85,73.04,9.85,24.41
Nigeria,2020,Hypertension,Respiratory,7.76,11.56,7.36,43147.0,86.2,1.6,4.92,89.24,5.14,71.34
Italy,2023,Diabetes,Bacterial,2.11,14.47,4.28,547651.0,68.89,1.7,6.21,90.84,8.47,39.28
Argentina,2021,Asthma,Infectious,7.21,0.62,1.42,964479.0,50.09,4.35,6.24,84.24,0.67,26.96
Saudi Arabia,2021,Asthma,Respiratory,8.22,1.89,6.34,129320.0,99.8,4.62,3.26,70.94,3.54,71.0
Italy,2021,Asthma,Metabolic,0.85,1.59,9.14,9137.0,95.39,1.02,4.99,74.0,2.25,76.96
Brazil,2023,Asthma,Genetic,4.04,7.21,1.31,519648.0,79.54,0.76,1.8,93.03,4.48,87.81
Brazil,2023,Hypertension,Parasitic,0.33,5.16,7.73,239281.0,68.32,1.06,5.79,89.69,4.07,48.12
China,2023,Cancer,Neurological,2.41,5.85,2.0,449087.0,51.83,1.87,2.25,74.32,9.61,47.33
Italy,2024,Diabetes,Autoimmune,0.41,7.94,9.15,350051.0,64.96,4.66,7.65,78.01,0.31,64.05
Saudi Arabia,2020,Cancer,Autoimmune,9.01,3.64,9.81,638494.0,79.39,3.93,4.35,95.55,7.95,25.52
Mexico,2020,Asthma,Metabolic,3.78,5.1,8.22,411075.0,80.3,4.88,0.8,50.42,8.27,31.35
Brazil,2023,Diabetes,Infectious,4.22,7.83,1.78,610779.0,63.77,1.97,9.32,52.59,4.07,60.83
Saudi Arabia,2020,Diabetes,Bacterial,14.09,11.35,4.65,131513.0,60.46,1.78,4.54,73.96,8.17,43.56
South Korea,2023,Diabetes,Viral,8.96,13.4,2.91,940981.0,99.4,4.78,7.86,97.24,1.57,56.91
France,2024,Hypertension,Respiratory,3.69,9.43,9.97,496483.0,99.9,4.56,9.98,58.69,3.84,47.11
Australia,2024,Asthma,Bacterial,2.86,13.78,2.6,776141.0,92.41,0.68,5.38,96.94,8.56,62.69
USA,2020,Asthma,Bacterial,19.58,4.03,9.52,828466.0,72.19,3.55,5.66,89.9,3.96,69.38
India,2024,Diabetes,Metabolic,18.95,5.54,6.32,830762.0,77.02,2.19,7.3,76.26,9.13,65.63
Germany,2023,Cancer,Bacterial,19.73,0.69,2.06,729447.0,75.16,1.65,7.12,67.23,9.18,53.47
Australia,2023,Cancer,Cardiovascular,7.19,14.45,9.45,333109.0,57.21,4.28,7.4,78.15,0.1,21.68
China,2023,Hypertension,Respiratory,13.42,4.88,1.82,876914.0,83.87,0.69,2.31,70.45,5.98,87.2
France,2023,Asthma,Bacterial,6.42,13.3,6.02,374302.0,88.23,4.13,9.31,78.89,5.63,59.23
Turkey,2021,Diabetes,Infectious,19.21,2.65,1.38,906956.0,84.64,1.0,8.15,82.74,7.49,40.85
UK,2021,Diabetes,Cardiovascular,11.9,12.08,8.98,463485.0,64.47,2.83,0.64,97.52,3.32,46.76
South Africa,2022,Diabetes,Infectious,2.95,1.08,6.23,128282.0,67.69,2.06,5.58,66.13,9.86,42.57
Italy,2020,Cancer,Bacterial,7.63,10.91,7.34,666472.0,82.37,2.07,8.03,65.35,4.52,53.59
France,2023,Cancer,Infectious,19.73,4.15,0.43,964305.0,69.35,0.63,4.64,53.07,5.91,70.02
UK,2024,Asthma,Parasitic,5.98,3.65,7.24,557394.0,87.57,1.13,6.09,53.57,6.72,53.49
China,2023,Cancer,Cardiovascular,9.22,14.65,1.51,42575.0,56.35,3.03,7.49,70.23,8.85,78.28
Turkey,2021,Diabetes,Parasitic,13.7,0.89,5.44,48567.0,94.42,3.42,6.27,78.13,1.3,57.07
Brazil,2024,Asthma,Respiratory,11.56,3.28,1.6,991508.0,74.86,4.39,2.23,68.31,5.97,81.64
Indonesia,2021,Cancer,Viral,4.6,4.37,9.24,61847.0,67.41,4.95,7.35,87.88,8.42,83.99
France,2024,Cancer,Infectious,13.69,14.14,1.89,406623.0,81.57,3.73,9.51,89.46,6.77,84.29
South Africa,2020,Hypertension,Autoimmune,11.89,3.7,4.06,667787.0,64.46,2.18,6.08,76.05,1.89,89.55
Mexico,2021,Asthma,Chronic,0.95,12.4,9.49,995673.0,61.32,3.91,7.66,54.17,5.3,30.13
Russia,2020,Diabetes,Chronic,8.54,9.63,5.02,580321.0,65.72,3.92,6.5,80.06,2.46,43.74
Nigeria,2024,Hypertension,Infectious,12.13,7.67,7.72,289761.0,81.74,2.17,0.73,52.94,5.4,89.13
Turkey,2024,Asthma,Viral,5.74,6.91,0.75,881619.0,92.1,2.25,8.88,69.05,1.14,45.8
Turkey,2021,Cancer,Infectious,14.55,12.43,0.25,791019.0,87.45,4.86,7.42,52.35,6.57,20.92
Saudi Arabia,2023,Cancer,Viral,17.28,9.63,8.67,492794.0,55.97,3.64,2.11,74.38,9.4,64.36
Italy,2022,Hypertension,Respiratory,18.85,13.12,4.79,399627.0,64.27,4.15,0.61,83.6,8.53,60.91
Nigeria,2020,Diabetes,Parasitic,3.65,14.91,3.18,592331.0,96.22,0.6,0.53,84.54,3.33,72.15
Canada,2023,Cancer,Infectious,10.21,6.43,6.99,599154.0,53.83,1.29,4.29,82.17,3.89,89.4
Indonesia,2024,Cancer,Infectious,4.24,10.35,8.77,886014.0,89.44,1.91,8.14,65.05,9.93,35.67
France,2024,Diabetes,Metabolic,8.86,4.37,4.48,758242.0,83.92,3.97,3.7,60.07,3.39,62.85
UK,2020,Hypertension,Autoimmune,3.99,0.56,1.81,227003.0,86.66,1.37,6.11,51.54,3.85,88.52
India,2021,Diabetes,Neurological,8.54,1.17,2.01,784462.0,50.74,4.52,5.83,70.23,1.14,36.57
Argentina,2022,Asthma,Chronic,13.27,9.51,1.21,629312.0,89.44,3.42,3.24,83.61,7.43,40.08
South Africa,2022,Diabetes,Chronic,2.47,8.33,2.93,886230.0,60.93,3.53,8.89,89.98,2.49,36.7
Brazil,2024,Cancer,Autoimmune,8.75,3.42,4.42,803951.0,81.72,1.54,2.92,94.14,5.69,67.9
Nigeria,2023,Hypertension,Infectious,9.36,12.31,8.78,5692.0,63.49,0.78,8.9,96.02,8.57,61.61
Russia,2021,Cancer,Genetic,3.02,7.29,0.97,318728.0,71.68,0.6,4.31,76.8,9.12,84.66
Brazil,2020,Cancer,Autoimmune,12.14,10.84,6.54,482683.0,51.62,4.25,1.99,56.14,1.6,27.05
Canada,2020,Diabetes,Viral,8.94,11.29,4.84,742170.0,90.11,1.31,2.69,80.37,9.31,75.63
South Korea,2021,Diabetes,Autoimmune,14.23,0.43,3.43,437620.0,77.5,3.94,2.92,73.55,5.33,25.33
Turkey,2020,Asthma,Neurological,11.42,3.36,5.87,290765.0,80.19,1.74,4.67,73.85,2.51,67.01
Saudi Arabia,2021,Cancer,Viral,1.32,2.86,2.38,566758.0,87.57,2.94,9.52,53.6,8.15,71.72
Australia,2024,Asthma,Autoimmune,12.78,11.03,9.54,146175.0,86.98,3.12,8.8,69.9,1.77,36.34
Argentina,2020,Diabetes,Neurological,2.47,5.6,2.43,530263.0,67.49,4.19,7.02,55.94,7.93,46.01
USA,2022,Cancer,Cardiovascular,7.12,0.49,3.82,604302.0,92.64,4.46,5.73,75.86,1.45,87.78
Nigeria,2023,Asthma,Bacterial,13.02,2.5,7.27,97694.0,81.92,4.02,6.89,52.67,6.9,60.92
India,2021,Asthma,Viral,9.06,4.66,7.61,841028.0,68.98,3.73,1.27,94.23,4.98,52.17
France,2023,Asthma,Bacterial,0.3,1.84,0.52,597952.0,57.28,4.8,8.29,71.57,7.02,37.24
South Africa,2023,Asthma,Genetic,9.56,3.92,7.95,987490.0,67.94,4.7,8.98,86.3,0.33,40.54
Italy,2021,Cancer,Neurological,8.26,13.14,1.29,700760.0,60.44,0.77,7.38,56.95,1.71,63.49
Mexico,2020,Cancer,Bacterial,11.28,8.77,8.13,567990.0,99.91,2.69,1.27,71.15,7.42,86.61
South Africa,2023,Hypertension,Autoimmune,5.56,4.53,6.59,717206.0,75.53,4.55,2.01,73.77,3.65,24.94
Australia,2024,Cancer,Neurological,17.0,0.24,4.94,846621.0,57.47,3.79,6.39,81.85,4.96,43.93
Nigeria,2022,Asthma,Cardiovascular,19.11,14.98,2.85,964522.0,83.16,1.28,8.4,61.46,4.16,23.65
Italy,2022,Cancer,Respiratory,9.68,7.3,4.64,23510.0,93.67,2.15,6.66,86.5,5.66,48.51
Indonesia,2020,Asthma,Autoimmune,0.35,7.44,6.11,730151.0,83.68,4.89,9.42,96.44,1.39,73.2
Turkey,2021,Diabetes,Autoimmune,10.26,14.85,6.87,26262.0,97.78,1.03,5.22,56.43,9.98,40.98
India,2020,Hypertension,Infectious,12.23,11.89,2.86,37684.0,81.75,3.89,2.53,60.32,8.15,57.01
Indonesia,2020,Cancer,Viral,4.68,7.5,4.83,795945.0,90.03,1.53,3.55,95.68,8.81,28.85
Turkey,2023,Cancer,Metabolic,12.01,0.36,9.59,279792.0,84.87,2.51,2.7,67.13,1.38,20.63
UK,2021,Asthma,Metabolic,14.64,10.01,6.79,986390.0,71.91,0.66,0.85,96.11,1.54,48.65
Saudi Arabia,2021,Asthma,Metabolic,1.35,4.36,1.13,333446.0,62.83,2.23,7.52,88.7,9.35,30.9
Germany,2022,Asthma,Cardiovascular,8.01,14.54,6.18,417683.0,51.14,1.9,8.93,94.91,2.78,73.66
UK,2022,Cancer,Cardiovascular,5.25,0.9,0.21,33648.0,95.12,2.19,6.89,71.88,7.16,45.35
Saudi Arabia,2020,Asthma,Parasitic,19.48,14.3,4.35,203584.0,60.16,2.1,0.5,53.33,4.51,71.01
UK,2021,Diabetes,Metabolic,8.34,10.92,9.94,653467.0,87.33,4.64,9.91,53.14,5.6,66.63
South Korea,2020,Asthma,Genetic,8.18,3.58,7.12,389807.0,52.5,4.95,6.68,64.77,8.13,26.53
South Africa,2024,Diabetes,Cardiovascular,13.12,9.84,1.59,537506.0,65.36,2.17,8.94,75.17,2.71,31.1
USA,2022,Diabetes,Viral,19.26,11.64,1.89,46644.0,56.06,0.57,9.19,70.94,3.69,51.47
Italy,2024,Hypertension,Autoimmune,8.65,6.3,3.42,341877.0,95.7,1.13,0.95,63.2,8.52,34.94
Italy,2024,Hypertension,Neurological,5.98,8.23,2.73,770629.0,92.97,1.01,7.27,59.16,4.49,29.74
France,2021,Asthma,Autoimmune,12.21,3.49,8.55,988433.0,56.33,4.99,2.86,96.13,2.46,54.74
Indonesia,2021,Asthma,Bacterial,4.43,10.6,6.29,257705.0,63.03,2.45,3.89,76.25,2.18,29.6
Australia,2021,Hypertension,Infectious,4.49,10.88,9.84,585071.0,55.33,0.84,5.54,53.59,7.95,48.76
Mexico,2021,Cancer,Neurological,7.87,8.52,0.83,164909.0,96.46,1.46,2.3,75.26,6.89,57.32
Turkey,2021,Diabetes,Viral,6.26,14.17,6.65,144850.0,65.67,0.91,6.87,66.42,8.77,64.5
South Africa,2023,Diabetes,Metabolic,0.12,12.75,5.6,152207.0,54.76,1.7,5.66,75.35,6.07,30.92
Canada,2021,Diabetes,Chronic,14.87,2.53,7.62,377383.0,54.62,1.73,3.43,89.63,8.68,35.05
USA,2022,Cancer,Chronic,0.68,7.3,7.01,266349.0,51.25,3.67,3.25,92.19,9.68,61.66
Canada,2021,Hypertension,Cardiovascular,17.02,1.97,7.72,547759.0,88.17,2.35,6.67,70.61,4.99,32.25
China,2023,Hypertension,Neurological,9.88,1.46,8.32,618220.0,61.25,4.76,9.92,69.8,3.0,82.31
Australia,2023,Hypertension,Chronic,9.11,8.91,6.12,240374.0,53.19,3.54,2.91,67.04,7.13,38.71
South Africa,2021,Hypertension,Chronic,10.02,3.7,0.32,787929.0,65.84,4.75,2.92,67.17,9.84,64.1
South Korea,2022,Asthma,Parasitic,15.12,4.73,3.02,886490.0,84.26,2.66,2.71,63.64,7.11,34.23
Indonesia,2024,Asthma,Parasitic,4.9,0.75,9.98,127684.0,85.03,2.6,1.89,77.6,2.52,80.41
India,2021,Hypertension,Bacterial,8.99,10.96,7.57,466288.0,73.36,3.44,8.22,79.64,4.07,69.03
Indonesia,2022,Asthma,Bacterial,3.36,9.81,5.47,73828.0,70.29,3.3,3.15,79.63,4.04,64.16
France,2024,Diabetes,Respiratory,0.85,10.73,9.49,692513.0,84.37,1.29,1.42,56.39,0.98,49.05
Canada,2020,Diabetes,Metabolic,0.53,11.06,3.83,444236.0,99.43,4.71,0.65,50.88,7.36,72.75
Mexico,2022,Asthma,Respiratory,0.8,7.41,6.03,704448.0,65.19,4.71,3.7,55.32,5.85,37.37
Italy,2023,Asthma,Metabolic,1.15,4.2,2.8,447962.0,53.4,3.28,1.35,65.48,3.02,74.5
Saudi Arabia,2021,Hypertension,Chronic,8.17,0.16,8.16,4717.0,92.36,4.49,8.29,66.58,2.74,48.68
Japan,2024,Asthma,Autoimmune,13.84,14.8,1.06,697697.0,74.97,2.88,3.29,62.12,9.53,42.6
Saudi Arabia,2023,Asthma,Metabolic,11.28,1.08,4.16,156574.0,62.95,1.82,9.4,85.89,5.43,31.06
China,2022,Asthma,Respiratory,14.28,10.17,4.27,206346.0,96.67,0.58,1.76,94.15,3.58,27.13
Indonesia,2020,Hypertension,Viral,7.28,7.63,5.55,345187.0,78.59,3.96,4.78,56.26,1.07,59.48
Germany,2022,Cancer,Cardiovascular,15.51,4.77,5.62,570326.0,94.08,1.14,6.82,73.38,0.98,83.33
Australia,2023,Cancer,Genetic,6.91,8.76,7.21,450546.0,68.06,0.67,7.41,96.75,2.59,48.83
Saudi Arabia,2021,Diabetes,Infectious,15.68,0.12,3.07,80612.0,82.57,3.57,2.34,60.96,5.27,35.08
Brazil,2023,Hypertension,Cardiovascular,5.6,14.76,0.44,928372.0,93.29,4.17,4.23,52.66,5.79,68.07
India,2022,Hypertension,Infectious,18.35,3.26,4.49,28636.0,87.69,4.86,5.31,93.38,2.16,22.36
South Korea,2023,Cancer,Genetic,14.61,1.17,8.18,608147.0,97.42,4.39,2.87,63.7,7.9,84.11
Saudi Arabia,2020,Diabetes,Parasitic,14.12,14.85,1.45,577272.0,54.14,2.03,4.75,87.64,7.83,78.64
Nigeria,2024,Cancer,Chronic,16.64,6.19,8.55,383168.0,89.42,3.19,5.78,51.29,5.88,44.8
Germany,2022,Cancer,Autoimmune,1.28,12.05,0.5,935239.0,66.49,2.87,4.48,69.52,5.52,56.94
Italy,2023,Asthma,Cardiovascular,18.43,7.03,0.14,595747.0,94.57,2.32,3.66,97.8,5.84,70.13
Italy,2023,Hypertension,Respiratory,1.61,0.35,3.03,513610.0,52.64,0.57,1.73,83.3,5.5,42.48
Italy,2022,Asthma,Cardiovascular,1.22,8.38,4.25,116544.0,92.94,2.76,2.5,82.34,2.6,34.38
Italy,2024,Asthma,Infectious,9.26,0.48,2.69,744646.0,62.58,0.82,0.86,72.31,2.89,83.14
Nigeria,2020,Asthma,Parasitic,3.29,11.05,2.55,628189.0,77.62,1.08,7.79,81.83,4.76,47.83
China,2020,Asthma,Autoimmune,14.32,6.38,2.92,631732.0,83.59,2.69,7.09,86.13,5.04,20.33
France,2021,Cancer,Metabolic,3.33,14.22,5.35,342815.0,96.45,3.59,6.73,68.36,0.45,36.21
Russia,2020,Cancer,Viral,15.35,11.93,5.76,302497.0,89.91,1.26,3.98,79.81,1.16,52.81
South Korea,2021,Cancer,Genetic,13.73,2.74,2.77,489690.0,53.42,4.89,6.7,84.61,5.53,78.63
South Africa,2024,Asthma,Neurological,10.8,4.79,2.94,934130.0,51.65,4.12,3.32,96.09,9.18,61.3
Germany,2024,Asthma,Viral,5.28,4.05,7.74,517517.0,95.86,2.34,7.57,85.76,9.16,82.59
Turkey,2024,Cancer,Cardiovascular,9.36,6.3,6.87,655084.0,79.67,1.64,2.9,76.32,6.37,85.79
Japan,2024,Hypertension,Metabolic,4.33,0.41,1.44,613957.0,55.83,4.79,5.04,90.95,4.12,70.9
China,2022,Diabetes,Parasitic,16.45,5.43,3.71,194382.0,77.56,1.5,7.52,91.78,0.93,46.32
India,2021,Hypertension,Respiratory,2.99,2.42,4.61,366663.0,51.67,4.99,1.81,86.16,6.07,23.79
USA,2021,Asthma,Neurological,2.61,0.39,2.44,967920.0,71.36,2.67,1.42,55.16,2.94,69.17
China,2020,Cancer,Autoimmune,10.52,14.29,9.95,264005.0,85.13,1.43,2.63,61.34,7.88,88.24
Mexico,2023,Cancer,Genetic,19.97,11.32,7.25,383140.0,93.75,2.08,5.34,98.68,9.21,27.16
Japan,2021,Hypertension,Parasitic,19.94,13.18,6.42,91131.0,94.64,0.91,2.5,92.91,1.5,33.33
South Africa,2022,Cancer,Viral,18.05,10.72,9.09,951026.0,60.21,1.94,0.62,82.47,7.53,55.04
Mexico,2021,Hypertension,Viral,6.17,9.6,6.74,879456.0,58.57,4.58,1.48,79.34,5.64,58.69
Brazil,2020,Diabetes,Cardiovascular,17.57,9.45,8.01,86843.0,61.09,1.37,5.9,57.67,5.57,64.3
